weight,height,sex,exercise,fruit_per_day,vege_per_day
190,71,Male,Yes,0,0
130,60,Female,Yes,4,1
137,64,Female,Yes,2,1
197,77,Male,No,0,0
165,66,Male,Yes,2,1
125,67,Female,Yes,2,1
200,75,Male,No,4,1
183,65,Female,Yes,0,0
140,64,Male,Yes,1,1
170,70,Male,Yes,1,1
175,73,Male,Yes,5,5
175,68,Male,No,2,1
135,67,Female,No,1,3
180,67,Female,Yes,1,1
224,74,Male,Yes,1,0
121,61,Female,Yes,1,1
185,72,Male,Yes,2,1
98,63,Female,Yes,1,0
180,63,Male,Yes,1,1
117,61,Male,Yes,1,0
162,64,Female,Yes,1,2
142,70,Female,No,1,1
152,66,Female,Yes,3,2
190,72,Male,No,1,1
125,62,Female,No,3,0
238,69,Male,Yes,2,2
135,71,Male,Yes,1,1
145,68,Male,Yes,2,1
160,67,Male,Yes,1,1
117,58,Female,No,1,1
175,76,Male,Yes,2,2
176,70,Male,Yes,3,1
120,65,Female,Yes,1,1
200,76,Male,No,4,1
140,63,Female,Yes,2,2
150,69,Female,No,1,4
161,68,Female,Yes,2,2
220,73,Male,Yes,0,0
194,68,Female,Yes,1,1
150,59,Male,Yes,0,0
95,59,Female,Yes,1,1
137,62,Female,Yes,1,1
185,67,Male,Yes,1,5
220,64,Female,Yes,2,2
247,69,Female,Yes,1,1
160,69,Male,Yes,1,1
187,64,Male,No,0,0
195,67,Female,Yes,1,1
170,69,Female,Yes,4,1
145,69,Female,Yes,2,1
213,66,Female,Yes,1,1
227,70,Female,Yes,3,2
158,62,Female,Yes,3,1
148,64,Female,Yes,4,1
159,70,Male,No,0,2
175,61,Female,Yes,2,1
250,73,Male,Yes,1,1
240,63,Female,No,1,1
200,59,Male,Yes,1,1
280,72,Male,Yes,2,1
185,69,Male,Yes,1,1
260,70,Male,Yes,2,2
127,60,Female,Yes,1,1
170,72,Male,Yes,2,1
175,72,Male,Yes,1,1
165,72,Male,Yes,1,1
130,62,Female,No,2,1
170,63,Female,No,2,0
200,64,Female,Yes,0,0
128,62,Female,Yes,3,4
130,62,Male,Yes,2,3
185,66,Male,No,1,0
180,65,Male,Yes,1,1
138,67,Female,Yes,2,0
185,62,Female,Yes,1,1
140,59,Female,No,2,0
130,62,Female,Yes,1,1
190,64,Female,No,1,1
180,70,Male,Yes,2,0
150,67,Female,No,2,0
125,62,Female,Yes,1,1
180,67,Male,No,0,0
180,71,Male,Yes,1,1
170,63,Female,Yes,3,1
158,71,Male,No,1,0
125,63,Female,Yes,1,1
125,65,Female,Yes,1,3
210,72,Male,Yes,2,1
125,61,Female,Yes,0,1
125,63,Female,Yes,2,2
176,73,Male,Yes,2,2
190,70,Male,Yes,3,0
158,68,Male,Yes,1,0
185,70,Male,Yes,1,2
190,73,Male,Yes,2,1
295,74,Male,Yes,1,1
155,71,Male,Yes,2,0
135,65,Female,Yes,0,0
240,74,Male,Yes,2,1
130,60,Female,No,0,1
120,65,Female,No,1,2
150,70,Male,Yes,2,1
125,63,Female,Yes,2,1
212,72,Male,Yes,2,1
160,61,Male,Yes,1,1
230,67,Female,Yes,2,2
195,73,Male,Yes,2,2
180,66,Female,Yes,0,0
140,66,Female,Yes,1,0
103,62,Female,Yes,1,0
172,66,Female,Yes,1,1
173,69,Male,Yes,0,0
218,72,Male,Yes,1,2
122,65,Female,Yes,1,1
220,73,Male,Yes,3,1
225,69,Male,Yes,2,1
160,66,Female,Yes,2,1
154,64,Female,No,1,1
122,67,Male,No,1,0
132,62,Female,Yes,0,1
178,72,Male,Yes,2,1
160,71,Male,Yes,1,1
155,70,Male,Yes,2,1
200,64,Female,No,1,1
176,72,Male,No,1,1
130,67,Female,Yes,1,1
153,63,Female,Yes,2,1
170,63,Female,Yes,0,0
180,68,Male,Yes,1,0
170,67,Male,Yes,2,2
162,69,Male,Yes,2,2
155,68,Male,Yes,2,4
115,68,Female,No,1,1
150,64,Female,Yes,5,1
190,66,Female,Yes,1,1
170,66,Female,No,1,1
132,63,Female,Yes,2,1
180,69,Male,Yes,1,1
142,73,Male,Yes,1,1
187,69,Male,Yes,0,1
150,71,Male,No,0,0
195,70,Male,No,0,1
150,67,Female,Yes,1,0
200,69,Female,Yes,1,1
275,74,Male,Yes,2,1
135,62,Female,Yes,0,0
125,63,Female,Yes,3,2
159,68,Male,Yes,1,1
190,65,Female,Yes,2,2
153,64,Female,No,2,1
207,72,Male,Yes,4,2
165,69,Female,Yes,2,1
163,66,Female,No,1,1
152,62,Female,No,1,1
250,78,Male,Yes,2,2
190,68,Female,Yes,1,1
195,71,Male,No,1,1
145,69,Male,Yes,1,1
160,58,Female,No,3,0
115,64,Male,No,0,0
185,71,Male,Yes,1,1
125,64,Female,Yes,4,1
140,68,Female,No,1,0
180,61,Female,No,0,0
210,71,Male,Yes,2,1
215,72,Male,Yes,1,1
180,67,Female,Yes,1,1
134,64,Female,Yes,1,1
265,68,Female,No,2,0
109,63,Female,Yes,1,2
180,70,Male,Yes,3,1
150,66,Female,Yes,1,1
190,69,Female,Yes,3,0
150,68,Male,Yes,2,1
125,64,Female,Yes,0,0
160,64,Female,No,6,2
165,69,Male,Yes,2,1
216,70,Male,No,2,0
160,66,Female,Yes,1,1
180,68,Male,Yes,3,2
175,59,Male,Yes,2,1
178,72,Male,Yes,3,2
320,79,Male,Yes,2,1
120,65,Female,No,2,2
185,63,Female,No,1,0
205,68,Male,No,2,1
163,73,Male,Yes,1,2
112,60,Female,Yes,1,1
190,66,Female,Yes,1,1
165,72,Male,Yes,1,2
156,68,Male,Yes,1,0
240,74,Male,No,2,3
205,72,Male,Yes,0,0
130,60,Female,Yes,2,1
220,65,Male,No,1,0
153,62,Female,Yes,2,1
112,63,Female,Yes,3,2
130,67,Male,Yes,2,2
138,67,Female,Yes,3,0
165,72,Male,Yes,1,1
201,74,Male,Yes,5,1
175,71,Male,Yes,2,1
200,70,Male,No,1,0
222,75,Male,Yes,2,2
140,61,Female,Yes,3,1
130,69,Male,Yes,3,0
125,65,Female,Yes,1,1
135,61,Female,Yes,1,1
205,62,Female,Yes,3,0
130,62,Female,Yes,1,0
124,60,Female,Yes,1,2
140,68,Female,Yes,1,2
155,73,Male,Yes,2,1
180,72,Male,Yes,2,0
163,69,Male,Yes,2,2
170,64,Female,Yes,2,1
182,72,Male,Yes,2,1
115,60,Female,Yes,2,2
200,73,Male,Yes,1,0
135,69,Female,Yes,1,1
173,62,Female,Yes,3,1
164,71,Male,Yes,3,1
165,71,Male,Yes,2,1
170,70,Male,Yes,0,0
200,72,Male,Yes,1,1
160,58,Female,Yes,3,2
205,72,Male,Yes,2,1
230,74,Male,Yes,1,1
140,69,Male,Yes,1,1
155,53,Female,Yes,2,1
210,71,Male,Yes,1,1
120,60,Female,Yes,2,2
255,72,Male,Yes,1,0
178,70,Male,No,3,2
213,74,Male,Yes,1,0
160,67,Male,Yes,2,0
143,64,Female,Yes,1,1
130,62,Female,Yes,3,1
139,65,Female,Yes,1,1
165,64,Female,Yes,2,3
110,59,Female,Yes,2,2
195,67,Male,Yes,3,0
130,64,Female,Yes,2,1
135,67,Female,Yes,1,1
145,64,Female,Yes,1,1
170,72,Male,No,0,5
220,70,Female,No,4,2
180,72,Male,Yes,1,1
320,76,Male,No,1,1
180,70,Male,No,1,0
200,70,Male,Yes,2,0
195,74,Male,Yes,2,1
138,60,Female,Yes,2,1
187,66,Male,No,0,0
180,65,Female,Yes,2,1
150,66,Female,No,2,1
190,74,Male,Yes,1,1
