runtime,imdb_rating,imdb_num_votes,critics_score,feature_film,drama,mpaa_rating_R,oscar_season,summer_season,audience_score
80.0,5.5,899,45,1,1,1,0,0,73
101.0,7.3,12285,96,1,1,0,0,0,81
84.0,7.6,22381,91,1,0,1,0,1,91
139.0,7.2,35096,80,1,1,0,1,0,76
90.0,5.1,2386,33,1,0,1,0,0,27
78.0,7.8,333,91,0,0,0,0,0,86
142.0,7.2,5016,57,1,1,0,0,0,76
93.0,5.5,2272,17,1,1,1,1,0,47
88.0,7.5,880,90,0,0,0,0,0,89
119.0,6.6,12496,83,1,1,0,0,0,66
127.0,6.8,71979,89,1,0,0,0,1,75
108.0,6.0,9669,67,1,1,0,1,0,46
110.0,7.6,201779,80,1,0,1,0,0,89
100.0,5.9,25808,25,1,0,0,0,0,53
111.0,3.6,5544,15,1,0,0,0,1,36
96.0,7.0,240033,78,1,1,1,0,1,64
140.0,7.2,66489,54,1,1,1,0,0,80
106.0,6.9,6336,61,1,1,1,0,1,92
91.0,4.4,37769,19,1,0,1,0,0,24
90.0,3.6,21268,29,1,1,0,0,0,19
124.0,7.0,56201,40,1,1,1,0,1,73
82.0,7.6,3459,92,0,0,0,0,0,86
107.0,6.2,16717,66,1,1,1,1,0,42
116.0,6.2,9357,47,1,1,0,0,0,71
87.0,7.6,4541,79,0,0,0,0,0,77
97.0,5.3,1816,40,1,0,0,1,0,41
178.0,7.1,163490,51,1,1,0,1,0,81
84.0,5.6,19285,77,1,0,1,1,0,43
115.0,6.4,3688,91,1,0,1,0,1,61
100.0,7.9,3488,92,0,0,1,1,0,91
85.0,7.1,82851,91,1,0,1,0,0,71
87.0,7.0,56128,68,1,0,0,1,0,77
85.0,7.7,33101,69,1,0,0,0,0,85
124.0,7.1,259822,69,1,0,1,0,1,70
112.0,6.6,4908,40,1,0,1,0,0,57
108.0,6.5,290356,52,1,0,0,0,0,55
135.0,7.0,47297,76,1,1,1,1,0,70
115.0,6.1,2145,13,1,1,0,1,0,51
137.0,8.4,466400,98,1,0,1,0,1,94
99.0,7.4,69338,81,1,1,0,0,1,81
106.0,6.6,6228,69,1,1,1,1,0,64
130.0,7.8,75468,90,1,1,1,1,0,88
98.0,6.5,48519,21,1,1,1,0,0,64
94.0,5.4,13523,57,1,0,1,0,0,40
154.0,7.8,58668,88,1,1,0,1,0,94
113.0,6.5,9654,54,1,0,0,0,0,62
115.0,6.7,22079,67,1,1,0,0,1,64
135.0,6.7,5258,50,1,1,0,1,0,49
106.0,2.7,761,17,1,1,0,0,1,17
125.0,6.2,33839,35,1,1,1,0,1,40
65.0,7.3,183,73,0,0,0,0,0,88
123.0,7.7,225130,27,1,1,0,1,0,75
119.0,6.5,62241,52,1,0,0,0,0,56
120.0,6.6,19714,34,1,1,1,0,0,52
162.0,7.4,137126,84,1,1,1,1,0,83
140.0,6.8,10468,44,1,1,1,0,1,72
115.0,6.5,37770,46,1,1,1,0,0,59
102.0,5.5,1628,56,1,1,1,0,0,38
79.0,5.5,5587,6,1,0,1,0,1,35
108.0,6.4,6247,64,1,0,1,0,1,43
98.0,6.3,8646,81,1,0,0,1,0,54
100.0,6.0,8320,50,1,1,1,0,0,44
106.0,8.5,2362,96,0,0,0,0,0,96
92.0,7.8,1942,96,0,0,0,0,1,89
115.0,6.6,110238,43,1,0,0,0,0,58
87.0,4.4,21501,12,1,0,0,1,0,52
103.0,8.1,14359,100,0,0,0,0,1,90
127.0,6.5,12450,75,1,0,1,1,0,55
90.0,6.4,21704,63,1,1,1,0,0,52
119.0,7.2,4375,40,1,1,0,1,0,85
135.0,6.2,48324,40,1,1,1,1,0,43
91.0,5.5,4768,13,1,0,1,1,0,30
101.0,5.9,2944,24,1,0,1,1,0,38
93.0,6.8,6788,79,1,0,0,0,1,75
101.0,6.5,24783,65,1,0,0,0,1,55
130.0,6.0,3745,54,1,1,1,0,1,39
101.0,6.4,54726,48,1,0,0,0,0,59
99.0,5.9,1493,59,1,1,1,1,0,47
100.0,4.4,5616,21,1,0,0,0,0,24
106.0,7.6,10492,96,1,1,1,0,1,87
116.0,7.3,4451,60,0,1,1,0,1,83
90.0,6.8,12269,71,1,0,1,0,1,81
117.0,5.7,60335,32,1,0,1,0,1,35
83.0,5.5,5035,29,1,0,1,0,1,34
140.0,8.2,315051,82,1,1,0,0,0,92
106.0,5.9,82737,42,1,1,0,0,1,55
94.0,6.1,4944,70,1,1,1,0,1,54
91.0,3.6,8229,17,1,1,1,1,0,14
108.0,6.8,4516,92,1,1,1,0,0,76
100.0,5.7,7858,9,1,0,1,0,0,40
126.0,7.4,10938,84,1,1,0,0,0,82
107.0,7.8,279704,78,1,0,1,0,1,87
94.0,5.8,11192,78,1,0,1,0,1,41
94.0,6.2,3851,40,0,0,1,0,0,75
97.0,5.8,1838,71,1,1,1,0,1,43
109.0,6.2,6552,50,1,1,1,0,0,52
104.0,5.7,390,29,1,1,0,0,0,25
117.0,7.2,68429,62,1,0,1,0,1,74
93.0,8.1,182983,98,1,0,0,0,0,93
